Country,Region,Happiness Rank,Score,Standard Error,GDP,Family,Healthy life expectancy,Freedom,Trust Government Corruption,Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low,Dystopia Residual,Social Support,Perceptions of corruption
Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,1.8854099999999998,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Central and Eastern Europe,62,5.7589999999999995,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,Middle East and Northern Africa,63,5.754,0.07832,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.0906599999999997,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,Central and Eastern Europe,64,5.716,0.03135,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2.27394,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Cyprus,Western Europe,66,5.695,0.05635,1.2080600000000001,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,1.5988799999999999,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Middle East and Northern Africa,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,Central and Eastern Europe,69,5.5889999999999995,0.05018,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2.76579,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkmenistan,Central and Eastern Europe,70,5.547999999999999,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.8698400000000002,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong,Eastern Asia,72,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.6542899999999999,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,Central and Eastern Europe,73,5.428999999999999,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Southeastern Asia,74,5.399,0.025960000000000004,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,Southeastern Asia,75,5.36,0.03107,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2.20173,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Middle East and Northern Africa,76,5.332000000000001,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,Central and Eastern Europe,77,5.2860000000000005,0.03823,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,2.2327,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,Southern Asia,79,5.252999999999999,0.03225,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,Central and Eastern Europe,80,5.212000000000001,0.03363,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2.00073,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,3.1070900000000004,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,Middle East and Northern Africa,82,5.192,0.045239999999999995,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,1.8799599999999999,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,Central and Eastern Europe,82,5.192,0.05235,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2.10017,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Eastern Asia,84,5.14,0.02424,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,Sub-Saharan Africa,85,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,Central and Eastern Europe,86,5.124,0.06607,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,1.9312900000000002,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,Central and Eastern Europe,87,5.122999999999999,0.048639999999999996,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2.025,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Western Europe,88,5.102,0.04802,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,Central and Eastern Europe,89,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,1.62215,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Southeastern Asia,90,5.073,0.049339999999999995,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,1.7536,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somaliland region,Sub-Saharan Africa,91,5.0569999999999995,0.061610000000000005,0.18847,0.95152,0.43873,0.46581999999999996,0.39928,0.5031800000000001,2.11032,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Middle East and Northern Africa,92,5.013,0.0342,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,2.4537299999999997,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macedonia,Central and Eastern Europe,93,5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.053270000000000005,0.22359,1.7393299999999998,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,Sub-Saharan Africa,94,4.971,0.07896,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Central and Eastern Europe,95,4.959,0.05013,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2.06367,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,Sub-Saharan Africa,97,4.898,0.09437999999999999,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2.79832,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,1.21305,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laos,Southeastern Asia,99,4.876,0.06698,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42191999999999996,1.7379900000000001,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,Eastern Asia,100,4.874,0.03313,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,1.34759,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swaziland,Sub-Saharan Africa,101,4.867,0.08742,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,Western Europe,102,4.857,0.05062,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,1.8010099999999998,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,Middle East and Northern Africa,103,4.8389999999999995,0.04337,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Central and Eastern Europe,104,4.8,0.061070000000000006,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,1.24074,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,Latin America and Caribbean,105,4.788,0.056479999999999995,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,1.84408,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tajikistan,Central and Eastern Europe,106,4.7860000000000005,0.03198,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2.1139900000000003,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,Middle East and Northern Africa,107,4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.04394,0.59867,0.92558,0.66015,0.24499,0.12905,0.11250999999999999,2.0438400000000003,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,Southern Asia,109,4.694,0.03077,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2.51767,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,Middle East and Northern Africa,110,4.686,0.044489999999999995,1.0088,0.54447,0.69805,0.30033000000000004,0.058629999999999995,0.38086,1.6944,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,Central and Eastern Europe,111,4.681,0.04412,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,Middle East and Northern Africa,112,4.677,0.052320000000000005,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,1.95335,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Sub-Saharan Africa,113,4.6419999999999995,0.04585,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,1.7195599999999998,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Sub-Saharan Africa,114,4.633,0.04742,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,2.30919,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,Sub-Saharan Africa,115,4.61,0.0429,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,2.44191,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,Sub-Saharan Africa,116,4.571000000000001,0.11068,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998,2.7772900000000003,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Southern Asia,117,4.565,0.02043,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2.27513,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,Sub-Saharan Africa,118,4.55,0.0674,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo (Kinshasa),Sub-Saharan Africa,120,4.5169999999999995,0.0368,0.0,1.0012,0.09806000000000001,0.22605,0.07625,0.24834,2.86712,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,Southern Asia,121,4.513999999999999,0.03607,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,1.9563700000000002,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,Sub-Saharan Africa,123,4.507,0.07067999999999999,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,2.51009,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,Sub-Saharan Africa,124,4.436,0.03947,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997,2.11773,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,Sub-Saharan Africa,125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,Sub-Saharan Africa,126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Central and Eastern Europe,127,4.35,0.04763,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,Sub-Saharan Africa,128,4.332,0.049339999999999995,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461,1.46181,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,Southeastern Asia,129,4.3069999999999995,0.04351,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,1.41805,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,Central and Eastern Europe,130,4.297,0.042210000000000004,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,1.59541,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,Sub-Saharan Africa,131,4.292,0.0613,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2.8079099999999997,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,0.67108,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,1.95071,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
